GO-Term   	  Count	Name                                                                                                                                                                                       	Category
GO:0045186	      1	zonula adherens assembly                                                                                                                                                                   	biological_process
GO:0010446	      1	response to alkaline pH                                                                                                                                                                    	biological_process
GO:0002652	      1	regulation of tolerance induction dependent upon immune response                                                                                                                           	biological_process
GO:0002838	      1	negative regulation of immune response to tumor cell                                                                                                                                       	biological_process
GO:0002859	      1	negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target                                                                                        	biological_process
GO:2000426	      1	negative regulation of apoptotic cell clearance                                                                                                                                            	biological_process
GO:0001781	      1	neutrophil apoptotic process                                                                                                                                                               	biological_process
GO:0033031	      1	positive regulation of neutrophil apoptotic process                                                                                                                                        	biological_process
GO:0004576	      1	oligosaccharyl transferase activity                                                                                                                                                        	molecular_function
GO:0004579	      1	dolichyl-diphosphooligosaccharide-protein glycotransferase activity                                                                                                                        	molecular_function
GO:0008391	      1	arachidonate monooxygenase activity                                                                                                                                                        	molecular_function
GO:0004365	      1	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity                                                                                                                 	molecular_function
GO:0004056	      1	argininosuccinate lyase activity                                                                                                                                                           	molecular_function
GO:0005166	      1	neurotrophin p75 receptor binding                                                                                                                                                          	molecular_function
GO:0019776	      1	Atg8-family ligase activity                                                                                                                                                                	molecular_function
GO:1905198	      1	manchette assembly                                                                                                                                                                         	biological_process
GO:1904056	      1	positive regulation of cholangiocyte proliferation                                                                                                                                         	biological_process
GO:0003127	      1	detection of nodal flow                                                                                                                                                                    	biological_process
GO:0070986	      1	left/right axis specification                                                                                                                                                              	biological_process
GO:0034704	      1	calcium channel complex                                                                                                                                                                    	cellular_component
GO:0042634	      1	regulation of hair cycle                                                                                                                                                                   	biological_process
GO:1904352	      1	positive regulation of protein catabolic process in the vacuole                                                                                                                            	biological_process
GO:2000254	      1	regulation of male germ cell proliferation                                                                                                                                                 	biological_process
GO:0031151	      1	histone H3K79 methyltransferase activity                                                                                                                                                   	molecular_function
GO:0140956	      1	histone H3K79 trimethyltransferase activity                                                                                                                                                	molecular_function
GO:0090222	      1	centrosome-templated microtubule nucleation                                                                                                                                                	biological_process
GO:0032287	      1	peripheral nervous system myelin maintenance                                                                                                                                               	biological_process
GO:0019544	      1	arginine catabolic process to glutamate                                                                                                                                                    	biological_process
GO:0034698	      1	response to gonadotropin                                                                                                                                                                   	biological_process
GO:1902498	      1	regulation of protein autoubiquitination                                                                                                                                                   	biological_process
GO:0098583	      1	learned vocalization behavior                                                                                                                                                              	biological_process
GO:1901078	      1	negative regulation of relaxation of muscle                                                                                                                                                	biological_process
GO:1905747	      1	negative regulation of saliva secretion                                                                                                                                                    	biological_process
GO:0046813	      1	receptor-mediated virion attachment to host cell                                                                                                                                           	biological_process
GO:0004529	      1	DNA exonuclease activity                                                                                                                                                                   	molecular_function
GO:1904628	      1	cellular response to phorbol 13-acetate 12-myristate                                                                                                                                       	biological_process
GO:0008579	      1	JUN kinase phosphatase activity                                                                                                                                                            	molecular_function
GO:0061073	      1	ciliary body morphogenesis                                                                                                                                                                 	biological_process
GO:0003431	      1	growth plate cartilage chondrocyte development                                                                                                                                             	biological_process
GO:0032911	      1	negative regulation of transforming growth factor beta1 production                                                                                                                         	biological_process
GO:1990444	      1	F-box domain binding                                                                                                                                                                       	molecular_function
GO:0038182	      1	G protein-coupled bile acid receptor activity                                                                                                                                              	molecular_function
GO:0038184	      1	adenylate cyclase-activating G protein-coupled bile acid receptor signaling pathway                                                                                                        	biological_process
GO:0031393	      1	negative regulation of prostaglandin biosynthetic process                                                                                                                                  	biological_process
GO:0062026	      1	negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process                                                                                                     	biological_process
GO:0005316	      1	high-affinity phosphate:sodium symporter activity                                                                                                                                          	molecular_function
GO:1990269	      1	RNA polymerase II C-terminal domain phosphoserine binding                                                                                                                                  	molecular_function
GO:0045667	      1	regulation of osteoblast differentiation                                                                                                                                                   	biological_process
GO:0098684	      1	photoreceptor ribbon synapse                                                                                                                                                               	cellular_component
GO:0051223	      1	regulation of protein transport                                                                                                                                                            	biological_process
GO:0090234	      1	regulation of kinetochore assembly                                                                                                                                                         	biological_process
GO:1905337	      1	positive regulation of aggrephagy                                                                                                                                                          	biological_process
GO:0097356	      1	perinucleolar compartment                                                                                                                                                                  	cellular_component
GO:0090084	      1	negative regulation of inclusion body assembly                                                                                                                                             	biological_process
GO:0034205	      1	amyloid-beta formation                                                                                                                                                                     	biological_process
GO:0004883	      1	nuclear glucocorticoid receptor activity                                                                                                                                                   	molecular_function
GO:0031805	      1	type 8 metabotropic glutamate receptor binding                                                                                                                                             	molecular_function
GO:0004587	      1	ornithine aminotransferase activity                                                                                                                                                        	molecular_function
GO:0010121	      1	arginine catabolic process to proline via ornithine                                                                                                                                        	biological_process
GO:0051641	      1	cellular localization                                                                                                                                                                      	biological_process
GO:0061502	      1	early endosome to recycling endosome transport                                                                                                                                             	biological_process
GO:0061666	      1	UFM1 ligase activity                                                                                                                                                                       	molecular_function
GO:0072124	      1	regulation of glomerular mesangial cell proliferation                                                                                                                                      	biological_process
GO:0005129	      1	granulocyte macrophage colony-stimulating factor receptor binding                                                                                                                          	molecular_function
GO:0001821	      1	histamine secretion                                                                                                                                                                        	biological_process
GO:0004046	      1	aminoacylase activity                                                                                                                                                                      	molecular_function
GO:0016675	      1	oxidoreductase activity, acting on a heme group of donors                                                                                                                                  	molecular_function
GO:0047888	      1	fatty acid peroxidase activity                                                                                                                                                             	molecular_function
GO:0070025	      1	carbon monoxide binding                                                                                                                                                                    	molecular_function
GO:0035934	      1	corticosterone secretion                                                                                                                                                                   	biological_process
GO:0071228	      1	cellular response to tumor cell                                                                                                                                                            	biological_process
GO:0030262	      1	apoptotic nuclear changes                                                                                                                                                                  	biological_process
GO:2001236	      1	regulation of extrinsic apoptotic signaling pathway                                                                                                                                        	biological_process
GO:0099147	      1	extrinsic component of postsynaptic density membrane                                                                                                                                       	cellular_component
GO:0030887	      1	positive regulation of myeloid dendritic cell activation                                                                                                                                   	biological_process
GO:0060916	      1	mesenchymal cell proliferation involved in lung development                                                                                                                                	biological_process
GO:0072201	      1	negative regulation of mesenchymal cell proliferation                                                                                                                                      	biological_process
GO:2000584	      1	negative regulation of platelet-derived growth factor receptor-alpha signaling pathway                                                                                                     	biological_process
GO:2000791	      1	negative regulation of mesenchymal cell proliferation involved in lung development                                                                                                         	biological_process
GO:1900044	      1	regulation of protein K63-linked ubiquitination                                                                                                                                            	biological_process
GO:0016857	      1	racemase and epimerase activity, acting on carbohydrates and derivatives                                                                                                                   	molecular_function
GO:0047464	      1	heparosan-N-sulfate-glucuronate 5-epimerase activity                                                                                                                                       	molecular_function
GO:0090144	      1	mitochondrial nucleoid organization                                                                                                                                                        	biological_process
GO:1901030	      1	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway                                                                               	biological_process
GO:0035995	      1	detection of muscle stretch                                                                                                                                                                	biological_process
GO:0047223	      1	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity                                                                                              	molecular_function
GO:0038022	      1	G protein-coupled olfactory receptor activity                                                                                                                                              	molecular_function
GO:0001574	      1	ganglioside biosynthetic process                                                                                                                                                           	biological_process
GO:0031104	      1	dendrite regeneration                                                                                                                                                                      	biological_process
GO:0042987	      1	amyloid precursor protein catabolic process                                                                                                                                                	biological_process
GO:0010640	      1	regulation of platelet-derived growth factor receptor signaling pathway                                                                                                                    	biological_process
GO:0046890	      1	regulation of lipid biosynthetic process                                                                                                                                                   	biological_process
GO:0022029	      1	telencephalon cell migration                                                                                                                                                               	biological_process
GO:0010721	      1	negative regulation of cell development                                                                                                                                                    	biological_process
GO:0060029	      1	convergent extension involved in organogenesis                                                                                                                                             	biological_process
GO:0071454	      1	cellular response to anoxia                                                                                                                                                                	biological_process
GO:0009143	      1	nucleoside triphosphate catabolic process                                                                                                                                                  	biological_process
GO:0010831	      1	positive regulation of myotube differentiation                                                                                                                                             	biological_process
GO:0002263	      1	cell activation involved in immune response                                                                                                                                                	biological_process
GO:0003162	      1	atrioventricular node development                                                                                                                                                          	biological_process
GO:0051135	      1	positive regulation of NK T cell activation                                                                                                                                                	biological_process
GO:0170011	      1	stalled ribosome sensor activity                                                                                                                                                           	molecular_function
GO:1904906	      1	positive regulation of endothelial cell-matrix adhesion via fibronectin                                                                                                                    	biological_process
GO:0003912	      1	DNA nucleotidylexotransferase activity                                                                                                                                                     	molecular_function
GO:0006304	      1	DNA modification                                                                                                                                                                           	biological_process
GO:0004336	      1	galactosylceramidase activity                                                                                                                                                              	molecular_function
GO:0004348	      1	glucosylceramidase activity                                                                                                                                                                	molecular_function
GO:0030210	      1	heparin biosynthetic process                                                                                                                                                               	biological_process
GO:0031345	      1	negative regulation of cell projection organization                                                                                                                                        	biological_process
GO:0072553	      1	terminal button organization                                                                                                                                                               	biological_process
GO:0001880	      1	Mullerian duct regression                                                                                                                                                                  	biological_process
GO:0007506	      1	gonadal mesoderm development                                                                                                                                                               	biological_process
GO:0004420	      1	hydroxymethylglutaryl-CoA reductase (NADPH) activity                                                                                                                                       	molecular_function
GO:0008299	      1	isoprenoid biosynthetic process                                                                                                                                                            	biological_process
GO:0015936	      1	coenzyme A metabolic process                                                                                                                                                               	biological_process
GO:0036016	      1	cellular response to interleukin-3                                                                                                                                                         	biological_process
GO:0060977	      1	coronary vasculature morphogenesis                                                                                                                                                         	biological_process
GO:0086003	      1	cardiac muscle cell contraction                                                                                                                                                            	biological_process
GO:0016230	      1	sphingomyelin phosphodiesterase activator activity                                                                                                                                         	molecular_function
GO:0034250	      1	positive regulation of amide metabolic process                                                                                                                                             	biological_process
GO:1905038	      1	regulation of membrane lipid metabolic process                                                                                                                                             	biological_process
GO:0032243	      1	negative regulation of nucleoside transport                                                                                                                                                	biological_process
GO:0010866	      1	regulation of triglyceride biosynthetic process                                                                                                                                            	biological_process
GO:0030197	      1	extracellular matrix constituent, lubricant activity                                                                                                                                       	molecular_function
GO:0008147	      1	structural constituent of bone                                                                                                                                                             	molecular_function
GO:0033194	      1	response to hydroperoxide                                                                                                                                                                  	biological_process
GO:0004549	      1	tRNA-specific ribonuclease activity                                                                                                                                                        	molecular_function
GO:0070009	      1	serine-type aminopeptidase activity                                                                                                                                                        	molecular_function
GO:0021817	      1	nucleokinesis involved in cell motility in cerebral cortex radial glia guided migration                                                                                                    	biological_process
GO:0140272	      1	exogenous protein binding                                                                                                                                                                  	molecular_function
GO:0035060	      1	brahma complex                                                                                                                                                                             	cellular_component
GO:0140046	      1	nan                                                                                                                                                                                        	nan
GO:0002786	      1	regulation of antibacterial peptide production                                                                                                                                             	biological_process
GO:0045252	      1	oxoglutarate dehydrogenase complex                                                                                                                                                         	cellular_component
GO:0004145	      1	diamine N-acetyltransferase activity                                                                                                                                                       	molecular_function
GO:0001616	      1	growth hormone secretagogue receptor activity                                                                                                                                              	molecular_function
GO:0004615	      1	phosphomannomutase activity                                                                                                                                                                	molecular_function
GO:0006013	      1	mannose metabolic process                                                                                                                                                                  	biological_process
GO:0070831	      1	basement membrane assembly                                                                                                                                                                 	biological_process
GO:0043047	      1	single-stranded telomeric DNA binding                                                                                                                                                      	molecular_function
GO:1903981	      1	enterobactin binding                                                                                                                                                                       	molecular_function
GO:0072732	      1	cellular response to calcium ion starvation                                                                                                                                                	biological_process
GO:0020027	      1	hemoglobin metabolic process                                                                                                                                                               	biological_process
GO:0060332	      1	positive regulation of response to type II interferon                                                                                                                                      	biological_process
GO:0015127	      1	bilirubin transmembrane transporter activity                                                                                                                                               	molecular_function
GO:0004142	      1	diacylglycerol cholinephosphotransferase activity                                                                                                                                          	molecular_function
GO:0004605	      1	phosphatidate cytidylyltransferase activity                                                                                                                                                	molecular_function
GO:0006657	      1	CDP-choline pathway                                                                                                                                                                        	biological_process
GO:0008507	      1	sodium:iodide symporter activity                                                                                                                                                           	molecular_function
GO:0015373	      1	monoatomic anion:sodium symporter activity                                                                                                                                                 	molecular_function
GO:0043933	      1	protein-containing complex organization                                                                                                                                                    	biological_process
GO:0045046	      1	protein import into peroxisome membrane                                                                                                                                                    	biological_process
GO:0150115	      1	cell-substrate junction organization                                                                                                                                                       	biological_process
GO:0061037	      1	negative regulation of cartilage development                                                                                                                                               	biological_process
GO:2000394	      1	positive regulation of lamellipodium morphogenesis                                                                                                                                         	biological_process
GO:0042988	      1	X11-like protein binding                                                                                                                                                                   	molecular_function
GO:0030853	      1	negative regulation of granulocyte differentiation                                                                                                                                         	biological_process
GO:0045650	      1	negative regulation of macrophage differentiation                                                                                                                                          	biological_process
GO:0001906	      1	cell killing                                                                                                                                                                               	biological_process
GO:0044218	      1	other organism cell membrane                                                                                                                                                               	cellular_component
GO:0061756	      1	leukocyte adhesion to vascular endothelial cell                                                                                                                                            	biological_process
GO:0046904	      1	calcium oxalate binding                                                                                                                                                                    	molecular_function
GO:0002635	      1	negative regulation of germinal center formation                                                                                                                                           	biological_process
GO:0002897	      1	positive regulation of central B cell tolerance induction                                                                                                                                  	biological_process
GO:0002924	      1	negative regulation of humoral immune response mediated by circulating immunoglobulin                                                                                                      	biological_process
GO:0055105	      1	ubiquitin-protein transferase inhibitor activity                                                                                                                                           	molecular_function
GO:0035523	      1	protein K29-linked deubiquitination                                                                                                                                                        	biological_process
GO:0099095	      1	ligand-gated monoatomic anion channel activity                                                                                                                                             	molecular_function
GO:0060492	      1	lung induction                                                                                                                                                                             	biological_process
GO:0060638	      1	mesenchymal-epithelial cell signaling                                                                                                                                                      	biological_process
GO:0090190	      1	positive regulation of branching involved in ureteric bud morphogenesis                                                                                                                    	biological_process
GO:0060415	      1	muscle tissue morphogenesis                                                                                                                                                                	biological_process
GO:0019884	      1	antigen processing and presentation of exogenous antigen                                                                                                                                   	biological_process
GO:0045838	      1	positive regulation of membrane potential                                                                                                                                                  	biological_process
GO:0051412	      1	response to corticosterone                                                                                                                                                                 	biological_process
GO:0048210	      1	Golgi vesicle fusion to target membrane                                                                                                                                                    	biological_process
GO:0001754	      1	eye photoreceptor cell differentiation                                                                                                                                                     	biological_process
GO:0042017	      1	interleukin-22 binding                                                                                                                                                                     	molecular_function
GO:0042509	      1	regulation of tyrosine phosphorylation of STAT protein                                                                                                                                     	biological_process
GO:0070678	      1	preprotein binding                                                                                                                                                                         	molecular_function
GO:0046930	      1	pore complex                                                                                                                                                                               	cellular_component
GO:0014732	      1	skeletal muscle atrophy                                                                                                                                                                    	biological_process
GO:0014878	      1	response to electrical stimulus involved in regulation of muscle adaptation                                                                                                                	biological_process
GO:0002759	      1	regulation of antimicrobial humoral response                                                                                                                                               	biological_process
GO:0051900	      1	regulation of mitochondrial depolarization                                                                                                                                                 	biological_process
GO:0002508	      1	central tolerance induction                                                                                                                                                                	biological_process
GO:0120168	      1	detection of hot stimulus involved in thermoception                                                                                                                                        	biological_process
GO:1990023	      1	mitotic spindle midzone                                                                                                                                                                    	cellular_component
GO:1904685	      1	positive regulation of metalloendopeptidase activity                                                                                                                                       	biological_process
GO:0044871	      1	negative regulation by host of viral glycoprotein metabolic process                                                                                                                        	biological_process
GO:0048143	      1	astrocyte activation                                                                                                                                                                       	biological_process
GO:0072578	      1	neurotransmitter-gated ion channel clustering                                                                                                                                              	biological_process
GO:1902952	      1	positive regulation of dendritic spine maintenance                                                                                                                                         	biological_process
GO:0047609	      1	acetylputrescine deacetylase activity                                                                                                                                                      	molecular_function
GO:0021899	      1	fibroblast growth factor receptor signaling pathway involved in forebrain neuron fate commitment                                                                                           	biological_process
GO:2000504	      1	positive regulation of blood vessel remodeling                                                                                                                                             	biological_process
GO:0071674	      1	mononuclear cell migration                                                                                                                                                                 	biological_process
GO:0035780	      1	CD80 biosynthetic process                                                                                                                                                                  	biological_process
GO:0035781	      1	CD86 biosynthetic process                                                                                                                                                                  	biological_process
GO:0005457	      1	GDP-fucose transmembrane transporter activity                                                                                                                                              	molecular_function
